index,company_name,date,ticker,cusip,reviews_url
36,aarons co inc the,None,None,None,https://www.glassdoor.com/Reviews/Aaron-s-Reviews-E1083.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
37,abaxis inc,1992-01-22T00:00:00.000000000,ABAX,2567105,https://www.glassdoor.com/Reviews/Abaxis-Reviews-E1340.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
38,abb ltd,1996-10-23T00:00:00.000000000,ABB,375204,https://www.glassdoor.com/Reviews/ABB-Reviews-E3076.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
39,abbott laboratories,None,None,None,https://www.glassdoor.com/Reviews/Abbott-Reviews-E12.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
40,abbvie inc,None,None,None,https://www.glassdoor.com/Reviews/AbbVie-Reviews-E649837.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
41,abcellera biologics inc,2020-12-11T00:00:00.000000000,ABCL,00288U106,https://www.glassdoor.com/Reviews/AbCellera-Reviews-E2441741.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
42,abengoa sa,None,None,None,https://www.glassdoor.com/Reviews/Abengoa-Reviews-E12244.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
43,abeona therapeutics inc,1980-09-19T00:00:00.000000000,ABEO,00289Y206,https://www.glassdoor.com/Reviews/Abeona-Therapeutics-Reviews-E2265842.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
44,abercrombie  fitch  cl a,1996-09-25T00:00:00.000000000,ANF,2896207,https://www.glassdoor.com/Reviews/Abercrombie-Fitch-Reviews-E6756.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
45,ability inc,None,None,None,https://www.glassdoor.com/Reviews/Ability-Plus-Reviews-E668092.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
46,abington bancorp inc,2004-12-17T00:00:00.000000000,ABBC,00350L109,https://www.glassdoor.com/Reviews/Abington-Bancorp-Reviews-E37915.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
47,abiomed inc,1987-07-29T00:00:00.000000000,ABMD,3654100,https://www.glassdoor.com/Reviews/ABIOMED-Reviews-E755.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
48,abm industries inc,None,None,None,https://www.glassdoor.com/Reviews/ABM-Industries-Reviews-E32.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
49,abnamro holdings nv,1981-08-19T00:00:00.000000000,ABNYY,937102,https://www.glassdoor.com/Reviews/ABN-AMRO-Reviews-E10499.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
50,abovenet inc,1997-10-29T00:00:00.000000000,ABVT,00374N107,https://www.glassdoor.com/Reviews/AboveNet-Reviews-E7121.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
51,abraxis bioscience inc,2007-11-14T00:00:00.000000000,ABII,00383Y102,https://www.glassdoor.com/Reviews/Abraxis-BioScience-Reviews-E13523.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
52,absci corp,2021-07-22T00:00:00.000000000,ABSI,910000000000000031460563668774198819483739091171538032648397859280946177430964713331116483645881632571340619776,https://www.glassdoor.com/Reviews/Absci-Reviews-E1816029.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
53,absolute software corp,2000-03-28T00:00:00.000000000,ABST,00386B109,https://www.glassdoor.com/Reviews/Absolute-Reviews-E27386.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
